username,total_score
Andrew Gray,"1,066"
Zidonuke,834
Pax85,885
Church,969
Skier Dude,N/A
The Canadian Roadgeek,789
Smithers,662
VersedFenrir,865
Spleodrach,N/A
Scottywong,"1,115"
Redrocket,616
the Rogue Penguin,954
Soms,543
Hmich176,855
Amberrock,937
X!,"1,213"
Targaryen,809
seb26,"1,181"
Sp,"1,001"
RichardWeiss,"1,085"
Singularity,863
Sue Anne,551
Isaac,569
Vanished User jdksfajlasd,898
Steel,908
Sjb72,"1,074"
StefenTower,N/A
ConnorJack,714
Avenged Eightfold,964
ST11,953
Flewis,928
Mattflaschen,879
SusanLesch,870
SwirlBoy39,667
Javert,813
Ecpiandy,"1,038"
The High Fin Sperm Whale,878
TML,568
TParis,"1,198"
Trey,823
The Runescape Junkie,535
The Thing That Should Not Be,N/A
Mike R,724
R~enwiki,749
Xia,766
Simeon H,513
Enkyo2,808
I64s,678
Just Chilling,"1,092"
Windermere06,796
Soni,990
Stephen Bain,824
Geoff Plourde,648
AndySimpson,700
Timmeh,705
Timl,665
Voice of Clam,"1,213"
Erachima,816
ReaderofthePack,"1,182"
Tomfoolery,537
Tolly4bolly,"1,017"
Tow,916
Sammi Brie,"1,111"
Scott MacDonald,929
Victoriaearle,873
Gromlakh,917
Uninsured Driver,234
MattWade,770
Shyam,877
VOBO,564
Steven Walling,"1,219"
Siafu,704
DrPepperSamurai,451
O,822
dgw,886
Urban Fox,255
F,774
JoshuacUK,673
Waldyrious,870
Warren,877
KuduIO,746
Wes!,639
Emma Caroline,849
Wizzy,684
Cloudbound,910
RickinBaltimore,"1,300"
