username,total_score
Spark,627
Slash,536
Mattspac,635
Az1568,711
Addihockey10,898
Arcticocean,"1,214"
Jena Fi,532
LeoFrank,"1,200"
Dan1679,895
FormerEditor2718,687
PhilKnight,"1,220"
Awilley,"1,090"
AlasdairEdits,692
72Dino,668
LadyofShalott,"1,157"
AlexJ,584
Buttons to Push Buttons,"1,061"
spaceharper,811
Anachronist,"1,256"
Ambuj.Saxena,790
Ameliorate!,881
M.O.X,"1,045"
Joshii,673
Anderson,703
Floating Boat,670
Andonic,"1,058"
Andrew Su,624
Mahagaja,"1,074"
Dharmadhyaksha,"1,002"
Sir Nicholas de Mimsy-Porpington,956
AndrewN,765
Gryffindor,829
Anthony Bradbury,"1,006"
Aditya,747
JeanetteMartin,910
Search4Lancer,674
Caspian blue,947
Archtransit,621
Arda Xi,612
Shereth,795
Nathan Johnson,776
Ross CJ,257
Avatar,469
Avinesh,736
jarcanist,706
Nathan,870
Wadewitz,676
Calmer Waters,"1,140"
Penguins Are Animals 5327,919
Mursel,701
BarretB,944
Elahrairah,899
Just Step Sideways,"1,210"
Erakura,961
Spliffy,747
Bald Zebra,885
Tek022,693
Minna Sora no Shita,"1,004"
BilCat,N/A
Brandon,986
dscos,781
Blueshirts,611
HangingCurve,"1,149"
BrineStans,773
Chris-martin,699
FrozenUmbrella,483
Vanished user 90345uifj983j4toi234k,512
Docboat,728
Kiewii,763
VanishedUser 261249,482
TwilligToves,652
Valjean,"1,063"
Bungle,"1,022"
DangerousPanda,"1,087"
Foregone conclusion,620
Jack,810
The Wicked Twisted Road,809
cyberpower678,"1,171"
ChazJS,538
Caden,618
The prophet wizard of the crayon cake,593
The Determinator,775
West Virginian,862
Hannibalormaybejustrex,729
Crazytales,"1,043"
Chris is me,632
TerminalPreppie,830
Loren36,872
Fluffernutter,"1,103"
FrummerThanThou,709
Shortenfs,529
LurkingInChicago,602
CJ King,550
HighInBC,"1,086"
Apoxyomenus,825
City of Silver,990
Cncmaster,888
Jumbling,756
Congolese fufu,418
Conti,848
Amitrochates,687
CIS,654
Crispmuncher,707
CTF83!,"1,139"
CJ,922
Bkatcher,923
SquarePeg,515
Millelacs,849
Dave Dial,867
Ryan032,657
Donald Albury,"1,044"
Daniel,"1,282"
Dantheman531,659
AniMate,930
Conifer,"1,071"
David Shankbone,811
2D,899
Jeffrey R. Clark,"1,016"
DeltaQuad,496
Bulgu,734
Deon,719
MarcoAurelio,739
Panoptical,803
Gerry D,668
Exxolon,746
Dominic,"1,097"
Under22Entreprenuer,376
DeirdreAnne,801
Doug Weller,N/A
DrKay,N/A
AFigureOfBlue,"1,029"
GravityUp,847
Niagara,727
JamesR,932
Editor at Large,617
DoubleAW,495
2over0,861
Dendory,731
Black Kite,"1,241"
Godgoddingham333,522
Emily~enwiki,537
Josette,679
Heather,662
Fiveby,698
A3RO,686
Miacek,747
Lyght,581
Vanished user azby388723i8jfjh32,646
Zero Gravity,745
Finns,620
Polarscribe,858
FrederalBacon,"1,005"
Fingerz,821
49TL,932
T,804
LFaraone,"1,077"
Agent 86,756
Flyer22 Frozen,N/A
Fox,"1,113"
Fredil Yupigo,612
FusionLord,514
Giggy,836
PCHS Pirate Alumnus,"1,051"
Sonic is Cool!!,346
Gary Kirk,602
Kapohogrrl,619
SlimJim,638
BeenAroundAWhile,906
Floridian,722
Giac83,392
JohnWittle,518
QuentinJuvisy,467
Graham Beards,985
The Moose,"1,063"
PAVA11,965
JzG,N/A
Thane,705
HarrisonB,604
HJ Mitchell,"1,300"
GFHandel,706
Hair,712
Ham II,826
"Chase me ladies, I'm the Cavalry","1,144"
Nick,"1,165"
COBot,670
John Quincy Adding Machine,656
Kbir1,762
Holly Cheng,"1,133"
HPN,614
Retired user 0001,728
Moondyne,903
Gloss,947
Second Quantisation,213
Giants27,975
Audacity,934
Magnoliahoward,526
LRG5784,721
ImGz,683
Darren Olivier,651
Winger84,641
Karl Dickman,991
FerricMix,350
Peter.C,817
Frank,"1,051"
RiskAficionado,730
ObiterDicta,706
Jared,771
JRG,808
Sam Spade,845
JBW,N/A
Me,625
John Vandenberg,"1,086"
Padfoot79,744
Jeandré du Toit,"1,022"
Ben Moore,816
Indubitably,"1,119"
JennKR,744
Jeni,953
IComputerSaysNo,694
Jimbo Wales,911
Potato185234,443
Jón,626
TheNewPhobia,766
Raichu,645
Jguk,802
Jftsang,712
Јованвб,537
VI,673
LatinoMuslim,887
Linshee,778
Deely,604
Lights,742
Chaser,"1,141"
Perfect Proposal,683
Kevin Gorman,"1,030"
LucasVB,716
RobertEves92,812
Lexiphyxia,376
Fran Rogers,894
Alexandria,"1,059"
ΚΕΚΡΩΨ,613
Leki,562
Ikuzaf,813
Lanky,748
Richard D. LeCour,615
Leebo,918
Frosty,897
Silvestertaylor,708
David Levy,871
LGA,759
Jake Larsen,451
Logos,633
Coldupnorth,916
Ceranthor,"1,236"
BendersGame,715
LuK3,"1,202"
Chris G,864
Puffin,949
NatureA16,514
InfinityAndBeyond,628
Macy,844
Julia W,742
TimK MSI,743
Bine Mai,794
Snow Blizzard,776
Loiseaulybre,810
MDP23,975
Nug,796
Kurtis,891
MIDI,"1,144"
Matthewrb,"1,027"
Mav,827
MBisanz,"1,087"
MDCollins,762
Polo,989
MelbourneStar,"1,103"
Lofty abyss,960
TVHead,728
Mz7,"1,300"
TheStrayCat,637
.mdk.,631
Chaetodipus,"1,036"
Abminor,"1,129"
Mira,541
Adnarim,381
Matthias Bauer,350
Lader Gwiader,443
piratesswoop,898
Shirik,"1,154"
MartinHarper,771
Nard the Bard,823
Ulises Heureaux,588
NerdyScienceDude,"1,052"
Nakon,"1,072"
Nat,"1,029"
La goutte de pluie,830
Fish and karate,"1,222"
Keilana,"1,205"
Vague,690
Phynicen,742
Mr. Wick,767
Nine Tail Fox,760
Tristessa de St Ange,835
Sciurinæ,727
RkOrton,711
Tnayin,514
NJA,"1,151"
Alyo,"1,016"
Ryoga Godai,831
Nv8200pa,"1,003"
TheMandarin,615
Oculi,N/A
Nanobear~enwiki,717
Instinct,"1,008"
Olve Utne,659
ImperfectlyInformed,790
Orderinchaos,886
Lexicon,927
Osmanji,271
Noctibus,701
True Pagan Warrior,"1,010"
WikiEditor2004,707
PonyToast,783
Per Honor et Gloria,783
PAustin4thApril1980,779
Premeditated Chaos,"1,025"
Potočnik,773
SmthManly,766
Crisis,628
pablo X,911
CJinoz,942
P858snake,714
Zdravljica,508
PeeJay,N/A
Peep,584
Pepper,"1,059"
PDH,900
Peter,828
Oliphaunt,579
Phoenix-wiki,814
Lexi Marie,757
Graham87,N/A
Emarsee,730
Frood,"1,022"
Pajz,720
Tamzin,"1,274"
Polynomial123,508
Pvmoutside,N/A
Pmlineditor,991
Rustic,728
Bellerophon,925
Rjanag,"1,044"
Polly,880
Porchcorpter,777
BranStark,884
Pratyya Ghosh,817
Spheromakquanta,444
The Red,642
ThirdDolphin,809
Hargrimm,650
Vlad,725
AaronY,950
MarcGarver,"1,107"
Ruud Koot,929
Ravenswing,"1,031"
Ryan Norton,724
Volunteer Marek,"1,009"
Brerose,508
Gallileo2k,792
Razer2115,"1,067"
Aarem,676
Daveydweeb,674
Lee,526
Rcsprinter123,"1,178"
Miranda,870
Fusionmix,809
KorinoChikara,607
Renesis,714
ClassicSC,750
Stan2525,735
Arctic Fox,531
Firefly,"1,126"
Rkevins,557
Zbxgscqf,547
Roman Spinner,901
Jack Phoenix,539
Ryan,783
RyanCross,847
Rye 212,705
Sean gorter,512
Stefán Örvar Sigmundsson,807
Sophia,679
Truco,830
GroovySandwich,706
Salvidrim!,"1,227"
Sam,835
Steve Smith,917
JarrahTree,N/A
SchuminWeb,"1,020"
User86654,606
Hex,"1,015"
Arjun01,"1,025"
17Drew,730
Joy,"1,035"
